brand,title,image,rating,price,description
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/k9k8wi80/refrigerator-new/u/n/6/215-impro-prm-3s-3-whirlpool-original-imafrbnqtzn9m92y.jpeg?q=70,4.1,"14,990",Digital Compressor. Built-in Stabilizer. 1 Year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool.
Whirlpool,Whirlpool 231 L Frost Free Double Door 2 Star Convertible Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/y/a/c/-original-imagsusy7ggbsncg.jpeg?q=70,4.3,"25,790",Inverter Compressor. Built-in Stabilizer. 1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kb5eikw0/refrigerator-new/d/8/a/215-impro-prm-3s-3-whirlpool-original-imafsjqurmf7fet5.jpeg?q=70,4.3,"15,609",Normal Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 207 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kjlrb0w0/refrigerator-new/w/s/f/230-impro-prm-3s-alpha-steel-3-whirlpool-original-imafz58szg5mkapf.jpeg?q=70,4.3,"15,190",IntelliSense Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 207 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kkfrjww0/refrigerator-new/z/2/i/230-impro-prm-3s-wine-mulia-3-2020-whirlpool-original-imafzs9rfrazggwh.jpeg?q=70,4.3,"18,000",Non Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kesv0y80/refrigerator-new/f/d/8/dc-200-ltrs-215-vmpro-roy-3s-inv-alpha-steel-3-whirlpool-original-imafvdrehhdfvycg.jpeg?q=70,4.3,"16,750",Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kst9gnk0/refrigerator-new/l/t/n/71998-125-5-3-2021-36-4-whirlpool-53-5-61-5-original-imag6ahhgyayjnez.jpeg?q=70,4.3,"15,590",Normal Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 184 L Direct Cool Single Door 4 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/kfyasnk0/refrigerator-new/z/2/w/wde-205-prm-4s-inv-wine-radiance-4-whirlpool-original-imafwapzbbaz7fqq.jpeg?q=70,4.2,"14,590",Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor From Whirlpool.
Whirlpool,Whirlpool 184 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/p/f/t/205-wde-roy-3s-sapphire-flower-rain-z-1303-3-2023-36-4-whirlpool-original-imagnzjrhkghnkya.jpeg?q=70,4.4,"14,790",Non Inverter. Built-in Stabilizer. 1 Year Warranty on Product and 10 Years Warranty on Compressor.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Laminar Airflow,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/5/a/h/-original-imagfqgwjspegmgw.jpeg?q=70,4.2,"16,290",Normal. Built-in Stabilizer. 1 Year Comprehensive Warranty on Product and 9 Years Additional Warranty on Compressor.
